"year","population","county"
2016,89588,"Maury"
2017,92163,"Maury"
2010,11794,"Meigs"
2011,11668,"Meigs"
2012,11669,"Meigs"
2013,11651,"Meigs"
2014,11699,"Meigs"
2015,11785,"Meigs"
2016,11948,"Meigs"
2017,12068,"Meigs"
2010,44617,"Monroe"
2011,44912,"Monroe"
2012,45082,"Monroe"
2013,45200,"Monroe"
2014,45388,"Monroe"
2015,45693,"Monroe"
2016,45967,"Monroe"
2017,46240,"Monroe"
2010,173168,"Montgomery"
2011,176475,"Montgomery"
2012,184671,"Montgomery"
2013,184104,"Montgomery"
2014,188979,"Montgomery"
2015,192542,"Montgomery"
2016,194795,"Montgomery"
2017,200182,"Montgomery"
2010,6333,"Moore"
2011,6373,"Moore"
2012,6310,"Moore"
2013,6280,"Moore"
2014,6298,"Moore"
2015,6256,"Moore"
2016,6293,"Moore"
2017,6384,"Moore"
2010,22018,"Morgan"
2011,21997,"Morgan"
2012,21892,"Morgan"
2013,21661,"Morgan"
2014,21688,"Morgan"
2015,21487,"Morgan"
2016,21724,"Morgan"
2017,21636,"Morgan"
2010,31821,"Obion"
2011,31668,"Obion"
2012,31306,"Obion"
2013,31011,"Obion"
2014,30815,"Obion"
2015,30559,"Obion"
2016,30526,"Obion"
2017,30385,"Obion"
2010,22094,"Overton"
2011,22161,"Overton"
2012,22165,"Overton"
2013,21971,"Overton"
2014,21948,"Overton"
2015,22067,"Overton"
2016,21978,"Overton"
2017,22012,"Overton"
2010,7938,"Perry"
2011,7861,"Perry"
2012,7848,"Perry"
2013,7878,"Perry"
2014,7819,"Perry"
2015,7848,"Perry"
2016,7892,"Perry"
2017,7975,"Perry"
2010,5073,"Pickett"
2011,5096,"Pickett"
2012,5037,"Pickett"
2013,5004,"Pickett"
2014,5068,"Pickett"
2015,5126,"Pickett"
2016,5085,"Pickett"
2017,5073,"Pickett"
2010,16817,"Polk"
2011,16745,"Polk"
2012,16613,"Polk"
2013,16636,"Polk"
2014,16685,"Polk"
2015,16763,"Polk"
2016,16770,"Polk"
2017,16757,"Polk"
2010,72569,"Putnam"
2011,73016,"Putnam"
2012,73472,"Putnam"
2013,74015,"Putnam"
2014,74913,"Putnam"
2015,75098,"Putnam"
2016,76123,"Putnam"
2017,77674,"Putnam"
2010,31857,"Rhea"
2011,32065,"Rhea"
2012,32328,"Rhea"
2013,32463,"Rhea"
2014,32525,"Rhea"
2015,32320,"Rhea"
2016,32392,"Rhea"
2017,32691,"Rhea"
2010,54157,"Roane"
2011,53916,"Roane"
2012,53558,"Roane"
2013,53106,"Roane"
2014,52827,"Roane"
2015,52748,"Roane"
2016,52913,"Roane"
2017,53036,"Roane"
2010,66355,"Robertson"
2011,66705,"Robertson"
2012,66728,"Robertson"
2013,67221,"Robertson"
2014,67869,"Robertson"
2015,68429,"Robertson"
2016,69177,"Robertson"
2017,70177,"Robertson"
2010,263747,"Rutherford"
2011,268966,"Rutherford"
2012,274124,"Rutherford"
2013,280914,"Rutherford"
2014,288608,"Rutherford"
2015,297920,"Rutherford"
2016,307683,"Rutherford"
2017,317157,"Rutherford"
2010,22227,"Scott"
2011,22102,"Scott"
2012,22136,"Scott"
2013,21997,"Scott"
2014,21986,"Scott"
2015,21881,"Scott"
2016,21892,"Scott"
2017,21989,"Scott"
2010,14127,"Sequatchie"
2011,14249,"Sequatchie"
2012,14343,"Sequatchie"
2013,14528,"Sequatchie"
2014,14634,"Sequatchie"
2015,14631,"Sequatchie"
2016,14740,"Sequatchie"
2017,14736,"Sequatchie"
2010,89948,"Sevier"
2011,91107,"Sevier"
2012,92231,"Sevier"
2013,93298,"Sevier"
2014,94570,"Sevier"
2015,95502,"Sevier"
2016,96609,"Sevier"
2017,97638,"Sevier"
2010,928552,"Shelby"
2011,933268,"Shelby"
2012,939425,"Shelby"
2013,938825,"Shelby"
2014,938434,"Shelby"
2015,937885,"Shelby"
2016,937130,"Shelby"
2017,936961,"Shelby"
2010,19125,"Smith"
2011,19131,"Smith"
2012,19103,"Smith"
2013,19040,"Smith"
2014,19026,"Smith"
2015,19228,"Smith"
2016,19466,"Smith"
2017,19636,"Smith"
2010,13349,"Stewart"
2011,13228,"Stewart"
2012,13315,"Stewart"
2013,13297,"Stewart"
2014,13218,"Stewart"
2015,13198,"Stewart"
2016,13174,"Stewart"
2017,13355,"Stewart"
2010,156755,"Sullivan"
2011,156881,"Sullivan"
2012,156385,"Sullivan"
2013,156270,"Sullivan"
2014,156513,"Sullivan"
2015,156318,"Sullivan"
2016,156335,"Sullivan"
2017,157158,"Sullivan"
2010,161199,"Sumner"
2011,163584,"Sumner"
2012,165783,"Sumner"
2013,168623,"Sumner"
2014,172183,"Sumner"
2015,175193,"Sumner"
2016,179108,"Sumner"
2017,183545,"Sumner"
2010,61066,"Tipton"
2011,61241,"Tipton"
2012,61509,"Tipton"
2013,61535,"Tipton"
2014,61566,"Tipton"
2015,61525,"Tipton"
2016,61176,"Tipton"
2017,61366,"Tipton"
2010,7874,"Trousdale"
2011,7810,"Trousdale"
2012,7787,"Trousdale"
2013,7801,"Trousdale"
2014,7993,"Trousdale"
2015,8040,"Trousdale"
2016,9950,"Trousdale"
2017,10083,"Trousdale"
2010,18284,"Unicoi"
2011,18288,"Unicoi"
2012,18227,"Unicoi"
2013,18043,"Unicoi"
2014,17905,"Unicoi"
2015,17779,"Unicoi"
2016,17665,"Unicoi"
2017,17759,"Unicoi"
2010,19118,"Union"
2011,19191,"Union"
2012,19103,"Union"
2013,19054,"Union"
2014,18990,"Union"
2015,19161,"Union"
2016,19232,"Union"
2017,19442,"Union"
2010,5569,"Van Buren"
2011,5535,"Van Buren"
2012,5631,"Van Buren"
2013,5573,"Van Buren"
2014,5653,"Van Buren"
2015,5692,"Van Buren"
2016,5716,"Van Buren"
2017,5742,"Van Buren"
2010,39860,"Warren"
2011,39887,"Warren"
2012,39731,"Warren"
2013,39859,"Warren"
2014,39934,"Warren"
2015,40206,"Warren"
2016,40400,"Warren"
2017,40651,"Warren"
2010,123386,"Washington"
2011,123858,"Washington"
2012,124775,"Washington"
2013,125353,"Washington"
2014,125736,"Washington"
2015,126072,"Washington"
2016,127220,"Washington"
2017,127806,"Washington"
2010,16987,"Wayne"
2011,16942,"Wayne"
2012,16918,"Wayne"
2013,16850,"Wayne"
2014,16788,"Wayne"
2015,16677,"Wayne"
2016,16665,"Wayne"
2017,16583,"Wayne"
2010,35042,"Weakley"
2011,34855,"Weakley"
2012,34548,"Weakley"
2013,34144,"Weakley"
2014,33987,"Weakley"
2015,33846,"Weakley"
2016,33568,"Weakley"
2017,33337,"Weakley"
2010,25821,"White"
2011,26009,"White"
2012,26017,"White"
2013,26173,"White"
2014,26229,"White"
2015,26362,"White"
2016,26451,"White"
2017,26753,"White"
2010,184130,"Williamson"
2011,188395,"Williamson"
2012,193073,"Williamson"
2013,198991,"Williamson"
2014,205213,"Williamson"
2015,211456,"Williamson"
2016,218888,"Williamson"
2017,226257,"Williamson"
2010,114677,"Wilson"
2011,116756,"Wilson"
2012,118991,"Wilson"
2013,121914,"Wilson"
2014,125146,"Wilson"
2015,128434,"Wilson"
2016,132433,"Wilson"
2017,136442,"Wilson"
